ano,id_subsistema,nom_tipousina,val_geracao,val_vazaoafluente,val_vazaoturbinada,val_vazaovertida,val_vazaooutrasestruturas,val_vazaodefluente,val_vazaotransferida,val_vazaonatural,val_vazaoartificial,val_vazaoincremental,val_vazaoevaporacaoliquida,val_vazaousoconsuntivo
2009,N,HIDROELÉTRICA,41298568.64,6489943.84,3569869.65,1393387.61,0.0,6459221.24,0.0,10676595.99,81122.0,4134467.01440222,1620.983,14656.716400000001
2009,NE,HIDROELÉTRICA,51870550.84,3971688.72,1046337.0,74752.0,0.0,3425373.0,0.0,6184588.85,0.0,862371.71,6729.683,457.1603
2009,S,HIDROELÉTRICA,57779057.95,4877871.33,2811516.26,1294791.0,0.0,4800990.14,93.0,5527082.25,382125.05,1652807.08,3832.946,12126.3444
2009,SE,HIDROELÉTRICA,263556646.56,29570315.77,20341673.21,4361293.45,2130.0,29272070.51,74567.0,49603402.82189849,12790628.22,7200968.84832101,88877.658,496960.6741
2010,N,HIDROELÉTRICA,38064737.93,5384182.18,3182431.35,1059366.58,0.0,5436402.51,0.0,8153926.73,53016.0,3345010.57325598,1524.934,15483.5005
2010,NE,HIDROELÉTRICA,45651842.96,3276216.01,999601.0,6327.28,0.0,2913653.2,0.0,4047827.42,0.0,639584.936,6530.972,1792.2512
2010,S,HIDROELÉTRICA,75881878.5474,5723007.39,3667253.0,1427529.4,0.0,5721626.47,213.0,5985050.28,476855.54,1817914.091,4522.533,15654.5705
2010,SE,HIDROELÉTRICA,263206787.462,29590257.29,21951944.56,5113340.16,2067.0,30042289.28,72753.18,41807515.01104023,12229906.34,6278052.81954198,88538.341,517351.0043
2011,N,HIDROELÉTRICA,42692080.78,6791377.16,3838993.0,2768641.0,0.0,9527527.0,0.0,10155917.14,74053.0,4255766.30834503,2443.89,11237.5831
2011,NE,HIDROELÉTRICA,50523197.34,3751007.56,1099148.0,11832.0,0.0,3283349.67,0.0,5429663.13,0.0,791111.17,6557.786,1837.1786
2011,S,HIDROELÉTRICA,86476662.92,6677767.2,4340203.0,2147207.66,0.0,6663523.21,108.0,6777831.17,525470.76,2189160.68,4951.97,17634.2253
