ano,id_subsistema,nom_tipousina,val_geracao
2015,N,TÉRMICA,18243446.9289
2015,NE,EOLIELÉTRICA,15858183.3531846
2015,NE,FOTOVOLTAICA,7442.904
2015,NE,HIDROELÉTRICA,26088127.80467788
2015,NE,TÉRMICA,30299164.4139
2015,S,EOLIELÉTRICA,3622466.51273257
2015,S,HIDROELÉTRICA,90940505.78678694
2015,S,TÉRMICA,11690036.8161
2015,SE,BOMBEAMENTO,0.0
2015,SE,HIDROELÉTRICA,220768222.4404968
2015,SE,NUCLEAR,14687639.284
2015,SE,TÉRMICA,60730526.39280752
2016,N,HIDROELÉTRICA,34182422.559
2016,N,TÉRMICA,16135920.2112
2016,NE,EOLIELÉTRICA,25644888.89682797
2016,NE,FOTOVOLTAICA,16517.229
2016,NE,HIDROELÉTRICA,21584570.16
2016,NE,TÉRMICA,21340199.6537
2016,S,EOLIELÉTRICA,4632194.056
2016,S,HIDROELÉTRICA,88960174.59
2016,S,TÉRMICA,8290289.7491
2016,SE,BOMBEAMENTO,186.992
2016,SE,HIDROELÉTRICA,254043816.9717
2016,SE,NUCLEAR,15427108.089
2016,SE,TÉRMICA,36853265.1295
2017,N,EOLIELÉTRICA,645127.572
2017,N,HIDROELÉTRICA,48435078.246
2017,N,TÉRMICA,15722245.48
2017,NE,EOLIELÉTRICA,33326218.66
2017,NE,FOTOVOLTAICA,489742.468
2017,NE,HIDROELÉTRICA,16121706.638
2017,NE,TÉRMICA,25126380.6993
2017,S,EOLIELÉTRICA,5829123.545
2017,S,HIDROELÉTRICA,70161274.072
2017,S,TÉRMICA,9704477.0491
2017,SE,FOTOVOLTAICA,104768.094
2017,SE,HIDROELÉTRICA,259477143.581
2017,SE,NUCLEAR,15731066.774
2017,SE,TÉRMICA,47326752.9237
2018,N,EOLIELÉTRICA,1033453.611
2018,N,HIDROELÉTRICA,59956208.147
2018,N,TÉRMICA,15550447.2094
2018,NE,EOLIELÉTRICA,39127653.867
2018,NE,FOTOVOLTAICA,1759550.044
2018,NE,HIDROELÉTRICA,16156764.505
2018,NE,TÉRMICA,19231717.564
2018,S,EOLIELÉTRICA,5665220.644
2018,S,HIDROELÉTRICA,68672817.218
2018,S,TÉRMICA,9302134.548
